1000 1500
A1 56 24
A2 912 183
A3 827 765
A4 842 883
A5 180 678
A6 962 283
A7 177 977
A8 645 699
A9 823 480
A10 223 750
A11 151 664
A12 926 408
A13 994 970
A14 229 103
A15 452 80
A16 278 916
A17 981 201
A18 617 78
A19 972 691
A20 486 523
A21 187 979
A22 11 177
A23 94 116
A24 666 301
A25 134 474
A26 691 910
A27 77 534
A28 986 88
A29 100 31
A30 298 523
A31 287 881
A32 855 599
A33 406 29
A34 819 983
A35 512 264
A36 436 898
A37 378 261
A38 256 406
A39 667 71
A40 786 406
A41 354 389
A42 557 660
A43 155 629
A44 818 781
A45 988 864
A46 361 992
A47 676 952
A48 765 668
A49 986 656
A50 137 80
A51 263 749
A52 61 215
A53 72 334
A54 583 522
A55 203 302
A56 178 934
A57 451 465
A58 135 661
A59 551 657
A60 131 915
A61 184 11
A62 606 946
A63 327 150
A64 233 738
A65 714 102
A66 860 807
A67 904 389
A68 62 586
A69 884 912
A70 535 381
A71 884 898
A72 117 625
A73 498 269
A74 794 589
A75 20 946
A76 659 126
A77 716 642
A78 377 902
A79 488 435
A80 511 531
A81 246 788
A82 75 923
A83 299 679
A84 226 803
A85 11 235
A86 338 182
A87 487 279
A88 831 46
A89 524 190
A90 90 974
A91 644 431
A92 572 935
A93 869 245
A94 781 14
A95 323 530
A96 6 476
A97 916 731
A98 464 598
A99 870 974
A100 998 192
A101 97 979
A102 894 716
A103 489 605
A104 21 948
A105 89 210
A106 694 692
A107 254 438
A108 90 403
A109 869 515
A110 656 445
A111 653 534
A112 654 624
A113 120 507
A114 785 198
A115 197 90
A116 314 321
A117 479 887
A118 136 91
A119 185 496
A120 595 902
A121 705 114
A122 997 421
A123 347 541
A124 872 801
A125 772 561
A126 677 119
A127 481 887
A128 59 866
A129 67 442
A130 159 725
A131 254 72
A132 567 987
A133 502 900
A134 161 406
A135 3 910
A136 935 315
A137 986 820
A138 406 318
A139 301 256
A140 367 473
A141 274 588
A142 825 923
A143 83 981
A144 411 985
A145 686 143
A146 725 180
A147 168 528
A148 595 271
A149 460 271
A150 305 916
A151 102 831
A152 74 326
A153 839 765
A154 961 806
A155 624 181
A156 218 842
A157 104 176
A158 342 52
A159 504 417
A160 747 880
A161 827 620
A162 580 491
A163 576 797
A164 624 425
A165 771 839
A166 196 413
A167 365 495
A168 919 252
A169 742 568
A170 884 945
A171 152 518
A172 336 435
A173 744 649
A174 973 977
A175 519 341
A176 96 948
A177 185 711
A178 764 478
A179 32 784
A180 928 581
A181 607 508
A182 40 432
A183 377 423
A184 458 182
A185 483 439
A186 116 904
A187 491 412
A188 506 502
A189 105 113
A190 71 471
A191 989 593
A192 839 60
A193 272 41
A194 217 340
A195 852 252
A196 228 613
A197 363 403
A198 683 537
A199 379 892
A200 650 506
A201 349 782
A202 244 424
A203 566 889
A204 959 856
A205 514 896
A206 999 18
A207 816 776
A208 183 229
A209 253 317
A210 442 269
A211 867 715
A212 789 281
A213 953 701
A214 280 45
A215 391 647
A216 590 306
A217 221 722
A218 707 744
A219 998 672
A220 744 910
A221 855 977
A222 781 821
A223 234 947
A224 469 194
A225 711 419
A226 299 13
A227 419 940
A228 195 797
A229 505 379
A230 902 261
A231 193 160
A232 902 846
A233 799 657
A234 387 134
A235 203 140
A236 732 186
A237 73 773
A238 784 666
A239 733 839
A240 555 121
A241 817 481
A242 24 413
A243 593 707
A244 824 123
A245 877 173
A246 710 102
A247 631 423
A248 692 130
A249 732 180
A250 347 300
A251 915 352
A252 311 750
A253 128 364
A254 196 345
A255 880 158
A256 932 654
A257 614 16
A258 87 33
A259 717 710
A260 374 224
A261 595 858
A262 135 935
A263 243 900
A264 735 583
A265 256 716
A266 957 303
A267 735 929
A268 624 638
A269 827 512
A270 108 993
A271 812 420
A272 911 427
A273 678 905
A274 88 5
A275 213 730
A276 110 931
A277 206 130
A278 133 645
A279 810 655
A280 778 513
A281 930 24
A282 672 834
A283 183 339
A284 532 715
A285 417 131
A286 433 135
A287 165 290
A288 433 969
A289 535 236
A290 377 342
A291 308 993
A292 284 389
A293 698 548
A294 241 931
A295 331 190
A296 966 121
A297 785 586
A298 485 142
A299 639 2
A300 803 420
A301 483 90
A302 271 582
A303 802 560
A304 441 334
A305 308 712
A306 108 443
A307 270 40
A308 810 660
A309 86 525
A310 593 886
A311 577 77
A312 642 451
A313 225 410
A314 761 559
A315 513 301
A316 439 577
A317 713 392
A318 98 751
A319 898 605
A320 928 708
A321 510 639
A322 477 986
A323 980 911
A324 758 173
A325 262 515
A326 535 770
A327 235 22
A328 949 92
A329 66 871
A330 360 544
A331 504 847
A332 715 979
A333 35 43
A334 582 709
A335 425 294
A336 391 42
A337 880 848
A338 129 448
A339 681 410
A340 979 317
A341 428 60
A342 468 760
A343 380 520
A344 475 727
A345 889 4
A346 185 748
A347 167 587
A348 758 289
A349 585 481
A350 401 916
A351 873 870
A352 437 39
A353 171 302
A354 446 3
A355 337 93
A356 225 447
A357 188 629
A358 886 959
A359 659 280
A360 960 855
A361 528 724
A362 17 851
A363 899 976
A364 461 532
A365 310 369
A366 178 53
A367 675 537
A368 173 345
A369 199 806
A370 197 7
A371 804 567
A372 12 715
A373 297 500
A374 293 318
A375 802 296
A376 154 94
A377 327 229
A378 802 957
A379 968 657
A380 689 832
A381 262 390
A382 743 7
A383 924 122
A384 387 216
A385 195 458
A386 279 38
A387 794 672
A388 100 928
A389 870 91
A390 202 637
A391 176 692
A392 766 869
A393 753 267
A394 375 205
A395 130 781
A396 885 809
A397 601 487
A398 45 232
A399 789 411
A400 945 634
A401 549 459
A402 581 353
A403 156 932
A404 399 838
A405 689 839
A406 652 781
A407 730 86
A408 992 789
A409 733 16
A410 575 370
A411 759 100
A412 904 792
A413 873 702
A414 11 884
A415 765 741
A416 635 905
A417 400 785
A418 637 127
A419 761 850
A420 61 93
A421 545 211
